City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
438,Abu Samrah,SY,76.82,clear sky,35.3029,37.1841, 
439,Sarangarh,IN,76.78,light rain,21.6,83.0833,Svidha kendra
440,Port Moresby,PG,78.22,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
441,Tura,IN,73.04,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
443,Bandarbeyla,SO,76.17,scattered clouds,9.4942,50.8122,JABIR HOTEL
444,Chifeng,CN,70.86,broken clouds,42.2683,118.9636,Junyu Tiancheng Hotel
446,Karachi,PK,80.42,drizzle,24.9056,67.0822,Sadaat
447,Fomboni,KM,76.48,clear sky,-12.28,43.7425,Auberge les abou
451,Forest Hills,US,76.77,broken clouds,42.9595,-85.4898,Ada Bed and Breakfast
452,Tefe,BR,87.91,few clouds,-3.3542,-64.7114,Aracati Hotel
454,Palimbang,PH,78.35,broken clouds,6.2106,124.1894,Felmar Beach resort
458,Guapi,CO,77.67,moderate rain,2.5708,-77.8854,Hotel Emperador Guapí
459,Yatou,CN,73.26,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
463,Hambantota,LK,78.03,moderate rain,6.1241,81.1185,Bungalow 63
465,Asyut,EG,86.18,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
466,Sassandra,CI,73.06,scattered clouds,4.95,-6.0833,la terrasse
467,Olinda,BR,74.93,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
468,Kalemie,CD,71.42,few clouds,-5.9475,29.1947,Mahobilali
470,Ypsonas,CY,77.97,clear sky,34.6884,32.9574,Club Aphrodite
472,Mitsamiouli,KM,76.21,clear sky,-11.3847,43.2844,Foyer ADM
473,Pozo Colorado,PY,82.94,clear sky,-23.4923,-58.7972,Hospedaje La Norteña
474,Ponta Delgada,PT,72.32,few clouds,37.7333,-25.6667,Vila Nova Hotel
475,Eyl,SO,76.75,overcast clouds,7.9803,49.8164,Amiin Hotel
476,Nouadhibou,MR,78.78,clear sky,20.931,-17.0347,El Medina
479,Sechura,PE,72.77,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
480,Babu,CN,78.76,clear sky,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
481,Zwedru,LR,72.34,broken clouds,6.0667,-8.1281,Elijah Worjloh
482,Aklavik,CA,73.65,scattered clouds,68.2191,-135.0107,Aklavik Inn
483,Mashhad,IR,78.94,clear sky,36.297,59.6062,Khanye Sabz Hotel
484,Punta Cardon,VE,81.99,overcast clouds,11.6581,-70.215,Bambuda hotel
486,Humberto De Campos,BR,77.23,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
487,Nong Ki,TH,82.51,overcast clouds,14.6868,102.538,บ้านเพ็ชรจำปา
488,Awallan,PH,76.91,overcast clouds,17.9244,121.913,Bunuga Baggao Cagayan
490,Tarakan,ID,79.63,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
495,Biak,ID,74.7,overcast clouds,-0.9131,122.8766,Penginapan Kim
497,Baiquan,CN,70.09,few clouds,47.5833,126.0833,Wenxin Home Leisure Express Hotel
498,North Bend,US,89.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
500,Darnah,LY,80.31,clear sky,32.767,22.6367,فندق الفردوس
501,Shubarshi,KZ,74.71,light rain,48.5872,57.1869, 
502,Papetoai,PF,83.79,moderate rain,-17.4961,-149.8729,Fare Vaihere
505,Macau,MO,87.85,few clouds,22.2006,113.5461,Grand Emperor Hotel
509,Vila Franca Do Campo,PT,72.01,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
510,Borba,BR,81.93,scattered clouds,-4.3878,-59.5939,Hotel da Amazônia
511,Fenton,US,77.09,broken clouds,42.7978,-83.7049,Fairfield Inn & Suites by Marriott Flint Fenton
512,Puri,IN,79.32,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
514,Durango,MX,82.87,broken clouds,24.8333,-104.8333, 
528,Thunder Bay,CA,76.91,scattered clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
529,Aksu,CN,81.52,clear sky,41.1231,80.2644,Pudong Holiday Hotel
531,Fare,PF,76.8,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
533,Progreso,MX,77.11,broken clouds,21.2833,-89.6667,Playa Linda Hotel
534,Mazagao,BR,80.65,light rain,-0.115,-51.2894,Recanto dos Ferreiras
535,Tibu,CO,89.85,scattered clouds,8.639,-72.7358,Hotel Yuliana's
536,Bartica,GY,84.52,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
537,Nioro,GM,75.69,light rain,13.35,-15.75, 
542,Kerman,IR,82.26,scattered clouds,30.2832,57.0788,هتل آپارتمان آسام
544,Kuala Pilah,MY,73.63,overcast clouds,2.7389,102.2487,Orange Hotel Kuala Pilah
546,Kibala,TD,78.75,thunderstorm,9.1104,18.3463,Prasant Hotels
547,Colares,PT,71.29,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
549,Shimoda,JP,78.1,light rain,34.6667,138.95,Shimoda Tokyu Hotel
550,Tabuk,PH,75.09,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
551,Norfolk,US,89.49,scattered clouds,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
552,Mujiayingzi,CN,72.72,overcast clouds,42.1167,118.7833,Jinjiang Hotel
557,Dire Dawa,ET,72.77,overcast clouds,9.5931,41.8661,Samrat Hotel
559,Jiuquan,CN,74.21,overcast clouds,39.7432,98.5174,Jiuquan Hotel
561,Misratah,LY,81.12,clear sky,32.3754,15.0925,Almasa Hotel
563,Cambe,BR,77.68,clear sky,-23.2758,-51.2783,Motel Tróia
564,Erenhot,CN,76.55,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
565,Sao Felix Do Xingu,BR,80.33,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
568,Hay River,CA,71.58,few clouds,60.8156,-115.7999,Ptarmigan Inn
569,Barauna,BR,78.19,overcast clouds,-5.08,-37.6167,Pousada Rancho do Sabiá
570,Gurlan,UZ,84.27,overcast clouds,41.8447,60.3919,ÒJIQ OVUL
571,Ayorou,NE,85.69,overcast clouds,14.7308,0.9174,Hotel Amenokal
